job_level,person_level,Employee_type,marital_status_maried_Y_N,gender,age,Education_level,GPA,year_graduated,job_duration_in_current_job_level,job_duration_in_current_person_level,job_duration_in_current_branch,number_of_dependences,job_duration_from_training,branch_rotation,job_rotation,assign_of_otherposition,annual_leave,sick_leaves,Last_achievement_percentage,Achievement_ab100%d_3quartal,Best_Performance
JG05,PG05,RM_type_A,Y,2,1983,level_4,0.0,2006,9.6,9.6,7.1,2,8,5,5,0,2,0,5.4,0,0
JG05,PG05,RM_type_A,Y,2,1980,level_4,3.1,2003,9.6,9.6,5.7,2,14,7,7,1,1,0,8.4,20,1
JG05,PG06,RM_type_A,Y,2,1973,level_4,0.0,1998,9.6,9.6,1.2,1,20,11,9,1,3,2,7.7,10,0
JG05,PG05,RM_type_A,Y,2,1981,level_4,3.5,2004,9.6,9.6,7.1,3,14,10,8,0,3,2,7.5,0,1
JG05,PG05,RM_type_A,Y,1,1982,level_3,3.8,2003,9.6,9.6,1.6,2,15,6,9,0,8,1,5.3,0,0
JG05,PG05,RM_type_A,Y,1,1981,level_4,3.4,2003,9.1,9.1,1.2,2,16,9,8,0,6,0,7.8,0,0
JG05,PG05,RM_type_A,Y,1,1981,level_4,3.3,2003,9.1,9.1,1.2,2,14,11,8,0,5,0,10.2,20,0
JG05,PG05,RM_type_A,Y,2,1981,level_4,3.5,2006,9.1,9.1,1.2,2,13,11,8,0,3,0,9.0,10,0
JG05,PG05,RM_type_A,Y,2,1980,level_4,0.3,2003,9.1,9.1,1.2,2,14,8,5,0,3,0,9.9,30,1
JG05,PG05,RM_type_A,Y,2,1978,level_4,0.3,2003,9.1,9.1,9.1,2,15,7,7,0,0,0,1.1,10,0
JG05,PG05,RM_type_A,Y,2,1978,level_4,0.3,2004,9.1,9.1,7.1,2,14,11,7,0,3,0,7.6,0,0
JG05,PG05,RM_type_A,Y,2,1980,level_4,3.1,2005,9.1,9.1,7.1,3,13,9,8,0,10,0,9.1,20,0
JG05,PG05,RM_type_A,Y,2,1978,level_3,3.2,2002,9.1,9.1,7.1,2,16,9,9,0,4,0,8.5,0,0
JG05,PG05,RM_type_A,Y,2,1983,level_3,3.1,2004,9.1,9.1,1.6,1,14,5,8,1,2,0,6.9,0,0
JG05,PG05,RM_type_A,Y,2,1981,level_4,3.0,2004,9.1,9.1,0.0,2,13,10,7,5,2,0,10.0,20,0
JG05,PG05,RM_type_A,Y,2,1979,level_4,2.8,2003,9.1,9.1,1.6,2,15,6,8,3,5,0,7.8,0,0
JG05,PG05,RM_type_A,Y,2,1977,level_4,2.9,2000,9.1,9.1,2.1,2,18,9,7,1,4,0,10.2,30,0
JG05,PG05,RM_type_A,Y,2,1980,level_4,3.1,2004,9.1,9.1,7.1,1,13,8,6,3,0,0,6.2,0,0
JG05,PG05,RM_type_A,Y,1,1980,level_4,0.0,2002,9.1,9.1,9.6,3,15,10,7,3,5,1,11.8,30,0
JG05,PG05,RM_type_A,Y,1,1976,level_4,3.3,2007,9.1,9.1,1.6,4,23,12,7,1,1,3,8.3,0,0
JG05,PG05,RM_type_A,Y,2,1979,level_4,3.2,2003,9.1,9.1,1.2,2,15,10,7,1,7,4,8.3,0,0
JG05,PG05,RM_type_A,Y,1,1976,level_4,0.0,2005,9.1,9.1,7.1,1,25,11,7,8,5,2,7.9,0,0
JG05,PG05,RM_type_A,Y,2,1977,level_4,0.0,2001,9.1,9.1,1.8,1,15,8,6,2,0,2,10.3,20,1
JG05,PG05,RM_type_A,Y,1,1981,level_4,2.9,2003,9.1,9.1,1.2,2,15,13,8,0,5,1,8.5,20,0
JG05,PG05,RM_type_A,Y,2,1979,level_4,0.3,2002,9.1,9.1,1.6,2,16,6,11,0,4,1,9.2,10,0
JG05,PG05,RM_type_C,Y,1,1974,level_4,3.3,1999,9.1,9.1,1.2,2,22,9,7,0,4,2,10.3,30,0
JG05,PG05,RM_type_A,Y,2,1982,level_3,3.3,2003,9.1,9.1,1.2,2,8,4,5,0,2,2,8.3,0,0
JG05,PG05,RM_type_A,Y,2,1978,level_4,0.3,2001,8.7,8.7,1.6,3,16,7,7,0,2,0,7.7,0,0
JG05,PG05,RM_type_A,Y,2,1983,level_4,3.4,2005,8.7,8.7,7.1,1,13,10,8,0,1,0,12.0,30,1
JG05,PG05,RM_type_A,Y,2,1985,level_4,3.3,2007,8.7,8.7,7.1,2,7,6,3,0,3,0,4.3,0,0
JG05,PG05,RM_type_A,Y,2,1978,level_4,2.7,2002,8.7,8.7,7.1,1,17,11,8,0,5,0,8.7,10,0
JG05,PG05,RM_type_A,Y,1,1979,level_4,3.5,2003,8.7,8.7,7.1,2,13,6,7,0,5,0,7.9,0,0
JG05,PG05,RM_type_A,Y,1,1982,level_3,3.2,2003,8.7,8.7,1.6,2,15,7,6,6,5,0,5.4,0,0
JG05,PG05,RM_type_A,Y,2,1979,level_4,2.8,2003,8.7,8.7,1.2,1,14,10,7,9,2,0,5.2,0,0
JG05,PG05,RM_type_A,Y,2,1980,level_4,3.3,2003,8.7,8.7,9.1,3,15,10,9,8,1,0,7.6,0,0
JG05,PG05,RM_type_A,Y,2,1977,level_4,3.4,2002,8.7,8.7,1.9,3,16,8,7,4,7,0,9.4,10,0
JG05,PG05,RM_type_A,Y,1,1980,level_4,2.9,2004,8.7,8.7,1.2,2,13,9,9,1,4,0,9.1,20,0
JG05,PG05,RM_type_A,Y,2,1976,level_4,3.1,1999,8.7,8.7,7.1,2,19,8,8,6,0,0,7.5,0,0
JG05,PG05,RM_type_A,Y,2,1980,level_4,2.8,2004,8.7,8.7,7.1,2,14,8,8,1,0,0,5.2,0,0
JG04,PG03,RM_type_B,Y,2,1986,level_4,2.9,2011,8.7,8.7,1.1,1,6,5,3,7,5,0,6.0,0,1
JG05,PG05,RM_type_A,Y,2,1981,level_4,2.8,2005,8.7,8.7,1.2,0,13,8,9,3,6,2,7.2,0,0
JG05,PG05,RM_type_A,Y,2,1979,level_4,2.8,2003,8.7,8.7,1.2,2,15,10,8,0,3,7,8.7,30,1
JG05,PG05,RM_type_A,Y,1,1974,level_4,2.9,1998,8.2,8.2,4.1,0,21,11,8,0,1,0,9.5,10,0
JG05,PG05,RM_type_A,Y,1,1977,level_4,0.0,2000,8.2,8.2,1.6,0,19,13,9,0,0,0,7.4,0,0
JG05,PG05,RM_type_A,Y,1,1978,level_4,3.3,2004,8.2,8.2,1.2,2,15,8,7,0,3,0,9.2,20,0
JG05,PG05,RM_type_A,Y,2,1979,level_4,0.0,2003,8.2,8.2,7.1,1,15,11,8,0,3,0,8.4,10,0
